Site,Brand,ItemCode,URL,Price,Type,Title,Availability,Material,Colour,Size,Model,Description,Condition,Time
rebelle,RickOwens,rebelle_4305098,https://www.rebelle.com/en/rick-owens-clothes-4305098,53.0 USD,N/A,N/A,N/A,Jersey,Grün,M,N/A,N/A,Sehr,2020-08-08 09:16:01.356028
rebelle,RickOwens,rebelle_4305111,https://www.rebelle.com/en/rick-owens-clothes-4305111,84.0 USD,N/A,N/A,N/A,Anderes Material,Gelb,UK 6,N/A,N/A,Sehr,2020-08-08 09:16:04.603867
rebelle,RickOwens,rebelle_4295388,https://www.rebelle.com/en/rick-owens-shoes-4295388,323.0 USD,N/A,N/A,N/A,Leder,Schwarz,EU 35,N/A,N/A,Gut,2020-08-08 09:16:07.947482
trefac,RICK OWENS,trefac_c778507,https://www.trefac.jp/store/3090029410321576/c778507/,0.36062387424267234 USD,N/A,RICKS PODS SHORTS  /サルエルハーフパンツ,AVALIABLE,ポリエステル53％、ウール44％、エラスタン3％,ブラック,48について,RR19F4384 WK,N/A,こちらの商品はあまり使用感の感じられない商品ですが、着用に伴う細かな傷、ヨゴレ、店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:00.002156
trefac,RICK OWENS,trefac_c778506,https://www.trefac.jp/store/3090029429866576/c778506/,0.2958965121991157 USD,N/A,デストロイ　レザージャケット,AVALIABLE,表地：ラムレザー90％、ウール10％、裏地：コットン45％レーヨン40％、シルク15％,ブラック,Sについて,RU6761,N/A,こちらの商品は中古品の為、使用に伴いますキズ、劣化が各所に見受けられます。袖口付近のレザーに痛みがあり、リブに小穴がございます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:08.239275
trefac,RICK OWENS,trefac_c778495,https://www.trefac.jp/store/3090029429897576/c778495/,0.04623383003111183 USD,N/A,タンクトップ,SOLD,レーヨン85％、シルク15％,グレー,Sについて,RU8150,N/A,こちらの商品は中古品の為、使用に伴いますキズ、汚れが各所に見受けられます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:19.334564
trefac,RICK OWENS,trefac_c778491,https://www.trefac.jp/store/3090029429903576/c778491/,0.06472736204355657 USD,N/A,シルク混カットソー,AVALIABLE,レーヨン85％、シルク15％,ライトグレー,Sについて,RU9250,N/A,こちらの商品は中古品の為、使用に伴いますキズ、毛玉が各所に見受けられます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:27.393285
trefac,RICK OWENS,trefac_c778482,https://www.trefac.jp/store/3090029400452576/c778482/,0.036987064024889466 USD,N/A,ロングカットソー,AVALIABLE,レーヨン85％、シルク15％,ホワイト,Sについて,RU13F02013-JS,N/A,こちらの商品は全体的に毛羽立ちや傷、ヨゴレが見受けられる商品になっております。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:35.578883
trefac,RICK OWENS,trefac_c778473,https://www.trefac.jp/store/3090029400469576/c778473/,0.055480596037334205 USD,N/A,ロングカットソー,SOLD,レーヨン85％、シルク15％,ブラック,Sについて,RU13F02013-JS,N/A,こちらの商品は中古品の為、使用に伴います細かなキズ、汚れがございます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:43.690516
trefac,RICK OWENS,trefac_c774336,https://www.trefac.jp/store/3090029316135576/c774336/,0.0832208940560013 USD,N/A,TANK TIP / タンクトップ,SOLD,コットン60％ / ポリエチレン20% / ビスコース20%,グレー,Sについて,RU152,N/A,こちらの商品は中古品の為、毛羽立ち、汚れがございます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:27:52.183355
trefac,RICK OWENS,trefac_c774335,https://www.trefac.jp/store/3090029316128576/c774335/,0.15719502210578024 USD,N/A,テープラインサルエルパンツ,AVALIABLE,コットン93% / ポリアミド6% / ポリウレタン1%,ネイビー,XSについて,RU1358,N/A,こちらの商品は中古品の為、スレ、汚れ、若干の色褪せがございます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:28:03.390997
trefac,RICK OWENS,trefac_c771394,https://www.trefac.jp/store/3090029179884576/c771394/,0.17568855411822498 USD,N/A,1Bテーラードジャケット,AVALIABLE,ウール69％　シルク31％,ブラック,48について,N/A,N/A,こちらの商品は中古品の為、袖裏地にシミがございます。また、使用に伴いますスレ、汚れが各所に見受けられます。店頭にて展示販売を行っている為、記載に無い細かなスレ、汚れが見受けられる場合がございます。,2020-08-08 09:28:11.744585
trefac,RICK OWENS,trefac_c766260,https://www.trefac.jp/store/3090028618841576/c766260/,0.2311691501555592 USD,N/A,トートバッグ,AVALIABLE,羊革,ブラック,-について,RB18F0230,N/A,こちらの商品は使用感の少ない美品ですが、店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:28:27.915840
trefac,RICK OWENS,trefac_c620019,https://www.trefac.jp/store/3090024669571360/c620019/,0.13870149009333552 USD,N/A,チュールノースリーブブラウス,AVALIABLE,ポリアミド100%,ブラック,38について,RP18S8535-TUM,N/A,こちらの商品は中古品ですが、使用に伴います細かなキズ、汚れが少なく、比較的状態の良いアイテムです。,2020-08-08 09:28:40.037683
trefac,RICK OWENS,trefac_c647636,https://www.trefac.jp/store/3013008136203060/c647636/,0.26815621418044866 USD,N/A,ライダースジャケット,AVALIABLE,レザー　ラムレザー,ブラック,Mについて,N/A,N/A,こちらの商品は中古品の為、使用に伴います細かなキズ、汚れがございます。店頭にて展示販売を行っている為、記載に無い細かなキズ、汚れが見受けられる場合がございます。,2020-08-08 09:28:48.796250
